Date,open_price,high_price,low_price,last_price,vwap_price,change_prev_close_percentage,num_trades,volume,turnover
2023-03-15,133.00,133.00,126.00,126.00,130.17021276596,-3.82,5,47.00000,6118.00
2023-03-14,132.00,132.00,129.00,131.00,130.14788732394,-1.50,8,284.00000,36962.00
2023-03-13,134.00,134.00,133.00,133.00,133.32975871314,0.00,7,373.00000,49732.00
2023-03-10,133.00,134.00,131.00,133.00,132.78339350181,0.00,9,554.00000,73562.00
2023-03-09,136.00,136.00,133.00,133.00,134.96629213483,0.00,3,89.00000,12012.00
2023-03-08,135.00,137.00,133.00,133.00,134.89215686275,-0.75,12,510.00000,68795.00
2023-03-07,134.00,134.00,134.00,134.00,134.00000000000,-0.74,1,26.00000,3484.00
2023-03-06,135.00,135.00,134.00,135.00,134.18699186992,0.75,6,123.00000,16505.00
2023-03-03,136.00,136.00,134.00,134.00,134.83391003460,-2.19,11,289.00000,38967.00
2023-03-02,134.00,137.00,134.00,137.00,134.81670533643,1.48,18,431.00000,58106.00
2023-03-01,128.00,135.00,128.00,135.00,131.33472133248,4.65,19,3122.00000,410027.00
2023-02-28,126.00,129.00,126.00,129.00,127.91460055096,3.20,15,363.00000,46433.00
2023-02-27,125.00,125.00,125.00,125.00,125.00000000000,-2.34,1,154.00000,19250.00
2023-02-24,125.00,128.00,122.00,128.00,123.96038034865,1.59,14,631.00000,78219.00
2023-02-23,126.00,126.00,126.00,126.00,126.00000000000,-1.56,3,81.00000,10206.00
2023-02-22,126.00,128.00,126.00,128.00,126.63636363636,1.59,4,110.00000,13930.00
2023-02-21,127.00,127.00,126.00,126.00,126.76923076923,-0.79,2,65.00000,8240.00
2023-02-20,126.00,127.00,126.00,127.00,126.52941176471,1.60,2,85.00000,10755.00
2023-02-17,125.00,125.00,125.00,125.00,125.00000000000,-1.57,1,7.00000,875.00
2023-02-16,127.00,127.00,127.00,127.00,127.00000000000,-1.55,2,72.00000,9144.00
2023-02-15,129.00,129.00,129.00,129.00,129.00000000000,0.78,2,48.00000,6192.00
2023-02-14,128.00,128.00,128.00,128.00,128.00000000000,3.23,2,12.00000,1536.00
2023-02-13,124.00,124.00,124.00,124.00,124.00000000000,-3.88,4,30.00000,3720.00
2023-02-10,128.00,129.00,128.00,129.00,128.36036036036,0.00,6,111.00000,14248.00
2023-02-09,126.00,129.00,126.00,129.00,128.14054054054,2.38,7,185.00000,23706.00
2023-02-08,125.00,126.00,125.00,126.00,125.60714285714,2.44,5,140.00000,17585.00
2023-02-07,122.00,123.00,122.00,123.00,122.28409090909,-1.60,8,1056.00000,129132.00
2023-02-06,125.00,125.00,125.00,125.00,125.00000000000,-0.79,1,200.00000,25000.00
2023-02-03,126.00,126.00,126.00,126.00,126.00000000000,3.28,1,50.00000,6300.00
2023-02-02,123.00,123.00,122.00,122.00,122.33593750000,-0.81,6,128.00000,15659.00
2023-02-01,125.00,125.00,123.00,123.00,124.26037735849,-0.81,10,265.00000,32929.00
